invoice,month,diesel_litres,electricity_kwh,amount_sgd
INV-25-0108,Jan 2025,7100 L,26800 kWh,"S$ 12,340"
INV-25-0221,Feb 2025,6650 L,25100 kWh,"S$ 11,590"
INV-25-0317,Mar 2025,7300 L,27400 kWh,"S$ 12,710"
INV-25-0412,Apr 2025,6900 L,26200 kWh,"S$ 12,020"
INV-25-0509,May 2025,7250 L,26900 kWh,"S$ 12,600"
INV-25-0614,Jun 2025,7050 L,25600 kWh,"S$ 12,180"
INV-25-0711,Jul 2025,7400 L,27100 kWh,"S$ 12,880"
INV-25-0815,Aug 2025,6800 L,25900 kWh,"S$ 11,930"
INV-25-0910,Sep 2025,7000 L,25300 kWh,"S$ 12,060"
INV-25-1013,Oct 2025,7150 L,26000 kWh,"S$ 12,420"
INV-25-1108,Nov 2025,6700 L,24800 kWh,"S$ 11,650"
INV-25-1212,Dec 2025,6900 L,25400 kWh,"S$ 12,010"
